Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),AmbT,CanT,A2(V),EngT,Tst1,Tst2,Tet3,Tet4,Tst5,Tst6,Tst7,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,13:49:30.570,0,0,7,100,89,104,97,0,6.6,4212,1015,6.54,0,23,11.1,53,526,452,413,87,117,28,21,5,-1,-62,0,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,8.0
2022-06-04,13:49:31.040,0,0,7,100,90,105,97,0,6.6,4212,1015,6.53,0,23,11.1,53,526,507,485,86,135,28,21,-2,-1,-66,0,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,8.0
2022-06-04,13:49:31.540,0,0,7,100,89,104,99,0,6.5,4212,1015,6.53,0,23,11.1,54,526,572,523,84,132,28,21,1,-1,-64,0,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:49:32.040,0,0,7,100,88,104,99,78,6.5,4481,1254,6.52,0,23,11.1,54,526,548,551,84,132,29,21,63,-1,95,1,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,13:49:32.540,0,0,7,100,83,106,98,100,6.5,4481,1254,6.53,0,23,11.1,54,526,668,642,78,193,29,21,-19,3,58,0,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,13:49:33.040,0,0,7,100,81,103,98,100,6.5,4481,1254,6.53,0,22,11.1,53,526,670,668,84,193,29,21,-94,0,101,0,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,13:49:33.540,0,0,7,100,83,106,99,32,6.5,4481,1254,6.53,0,23,11.1,55,527,683,677,98,191,30,21,103,5,170,-1,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,13:49:34.040,0,0,7,100,83,106,99,33,6.4,6091,3972,6.54,0,23,11.1,54,526,693,643,86,182,30,20,8,15,216,0,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:49:34.540,0,0,7,98,89,106,98,0,6.4,6091,3972,6.55,0,23,11.1,55,526,824,644,89,110,30,21,-87,19,223,0,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:49:35.040,0,0,7,98,83,106,96,0,6.5,6091,3972,6.55,0,23,11.1,55,526,824,677,106,164,30,20,1,22,218,-14,-326,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
