Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,Wav1,Wav2,RecV,BecV,BecA,BecT,BatV,BatA,BmAH,CELS,Cel1,Cel2,TeeV,AmbT,CanT,EngT,AccX,AccY,AccZ,AccTmp,GyrX,GyrY,GyrZ,VibS
2020-08-30,15:22:24.11568,1,0,0,0,0,51,100,22,8,437,0.00,1303,0,0.00,0.00,0.00,26.56,6.63,0.28,9.93,6.65,3.31,3.33,5.33,50.04,28.80,27.28,0,0,0,0,0,0,0,0
2020-08-30,15:22:24.11768,1,0,0,0,0,62,100,22,8,437,0.00,1696,0,0.00,0.00,0.00,26.46,6.63,0.28,9.93,6.65,3.31,3.33,5.33,68.46,28.75,27.26,18086,1369,20136,44,159,65281,62911,0
2020-08-30,15:22:24.11969,1,0,0,0,0,75,100,22,8,437,0.00,1762,0,0.00,0.00,0.00,26.51,6.62,0.69,11.70,6.65,3.31,3.33,5.33,68.85,28.76,27.19,3056,953,20143,44,55143,57616,10409,1
2020-08-30,15:22:24.12169,1,0,0,0,0,86,100,22,8,437,0.00,1597,0,0.00,0.00,0.00,26.68,6.50,0.69,11.70,6.63,3.30,3.32,5.33,69.04,28.70,27.22,7414,945,20267,44,28250,19355,984,0
2020-08-30,15:22:25.12370,1,0,0,0,0,99,100,22,8,437,0.00,1433,0,0.00,0.00,0.00,26.74,6.62,0.69,11.70,6.63,3.30,3.32,5.32,71.97,28.72,27.25,3794,1382,19773,44,47388,51062,6141,0
2020-08-30,15:22:25.12570,1,0,0,0,0,112,100,100,8,85,0.00,1270,0,0.00,0.00,0.00,26.61,6.58,0.57,13.25,6.63,3.30,3.32,5.32,70.47,28.79,27.33,34209,941,20161,44,273,34852,6178,0
2020-08-30,15:22:25.12770,1,0,0,0,0,124,100,0,8,20,0.00,1106,0,0.00,0.00,0.00,26.60,6.62,0.57,13.25,6.63,3.30,3.32,5.33,70.20,28.68,27.18,62231,1733,20115,44,674,48698,40596,0
2020-08-30,15:22:25.12970,1,0,0,0,0,136,100,0,8,20,0.00,942,0,0.00,0.00,0.00,26.46,6.62,0.32,14.17,6.63,3.30,3.32,5.33,67.17,28.75,27.30,7535,15150,20040,44,41047,64992,53484,0
2020-08-30,15:22:25.13170,1,0,0,0,29,146,100,0,8,20,0.00,778,0,0.00,0.00,0.00,26.46,6.64,0.32,14.17,6.63,3.31,3.31,5.33,67.55,28.85,27.33,3367,12499,20110,44,23290,39741,29482,0
2020-08-30,15:22:26.13370,2,0,0,0,29,157,100,96,8,107,0.00,615,0,0.00,0.00,0.00,26.52,6.62,0.32,14.17,6.63,3.31,3.31,5.33,71.11,28.79,27.24,57582,1828,20046,44,11708,65099,44789,0
2020-08-30,15:22:26.13570,2,0,0,0,29,171,100,96,8,107,0.00,507,0,0.00,0.00,0.00,26.44,6.63,0.29,15.04,6.63,3.31,3.31,5.32,69.40,28.71,27.33,1956,1107,20168,44,18138,65194,65421,0
2020-08-30,15:22:26.13773,98,0,0,0,29,184,100,96,8,107,0.00,353,0,0.00,0.00,0.00,26.42,6.62,0.29,15.04,6.63,3.31,3.31,5.33,68.92,28.72,27.17,13284,1117,20087,44,274,43432,65388,0
2020-08-30,15:22:26.13982,98,0,0,0,29,197,100,96,8,107,0.00,180,0,0.00,0.00,0.00,26.45,6.62,0.28,15.93,6.63,3.31,3.31,5.33,69.12,28.69,27.29,552,1173,20238,44,197,51197,59061,1
2020-08-30,15:22:26.14190,98,0,0,0,29,211,100,96,8,107,0.00,327,0,0.00,0.00,0.00,26.40,6.62,0.28,15.93,6.63,3.31,3.31,5.33,67.69,28.76,27.25,454,3394,19987,44,321,46155,51284,0
