Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),AmbT,CanT,A2(V),EngT,Tst1,Tst2,Tet3,Tet4,Tst5,Tst6,Tst7,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,13:32:40.050,0,0,22,100,88,105,98,50,6.4,4151,1363,6.50,0,17,11.1,47,525,486,448,87,115,88,15,-1,-1,-35,0,-325,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,8.0
2022-06-04,13:32:40.540,0,0,22,100,82,104,100,0,6.4,4151,1363,6.45,0,17,11.1,47,525,540,531,85,205,88,15,-1,-1,-10,0,-325,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:32:41.050,0,0,22,100,84,108,100,3,6.4,4151,1363,6.45,0,17,11.1,47,526,593,554,85,273,88,15,0,-1,-1,0,-325,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:32:41.590,0,0,22,100,83,107,99,100,6.4,4151,2060,6.46,0,17,11.1,47,526,666,639,87,192,89,15,-17,-1,133,0,-325,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,13:32:42.100,0,0,22,100,83,105,99,45,6.4,4151,2060,6.40,0,17,11.1,48,526,686,660,93,191,89,15,70,1,158,-1,-325,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,13:32:42.640,0,0,22,100,88,107,99,86,6.4,5016,2060,6.40,0,17,11.1,47,526,684,672,237,-26,89,15,-97,1,226,4,-325,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,13:32:43.150,0,0,22,100,88,105,98,45,6.4,5016,2060,6.50,0,17,11.1,48,526,802,608,98,350,90,15,14,15,165,0,-325,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:32:43.690,0,0,23,100,87,106,98,0,6.4,5016,2060,6.48,0,17,11.1,49,525,899,641,127,89,90,15,12,30,200,0,-325,-1024,-95,-1024,-1024,0,0,1020,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:32:44.200,0,0,23,100,82,107,100,75,6.4,7498,6901,6.49,0,17,11.1,49,526,991,664,127,89,90,15,0,42,265,4,-325,-1024,-95,-1024,-1024,0,0,1020,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:32:44.740,0,0,23,100,83,106,100,0,6.5,7498,6901,6.49,0,17,11.1,50,525,981,655,160,219,90,15,-63,28,283,3,-325,-1024,-96,-1024,-1024,0,0,1020,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,13:32:45.250,0,0,23,100,87,108,97,0,6.5,7498,6901,6.50,0,17,11.1,52,525,684,660,101,129,90,15,-2,21,125,0,-325,-1024,-96,-1024,-1024,0,0,1020,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
