Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),AmbT,CanT,A2(V),EngT,Tst1,Tst2,Tet3,Tet4,Tst5,Tst6,Tst7,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,16:08:29.240,0,0,8,98,87,101,95,0,6.5,4272,1493,6.50,68,17,11.1,46,526,476,442,83,288,38,15,-5,-1,190,0,-331,-1024,-96,-1024,-1024,0,0,1012,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:29.660,0,0,8,98,86,102,95,80,6.5,4272,1493,6.50,65,17,11.1,46,526,500,502,79,109,38,15,-10,0,185,0,-331,-1024,-95,-1024,-1024,0,0,1012,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:30.160,0,0,9,100,87,105,99,100,6.5,4272,1493,6.46,67,17,11.1,46,526,550,538,84,160,39,15,0,-1,181,0,-331,-1024,-95,-1024,-1024,0,0,1012,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:30.660,0,0,9,100,87,106,99,99,6.4,4361,1583,6.45,70,17,11.1,45,526,592,590,86,182,39,15,-23,-1,176,0,-331,-1024,-95,-1024,-1024,0,0,1012,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:31.160,0,0,9,100,88,103,97,0,6.4,4361,1583,6.45,65,17,11.1,46,526,654,620,79,110,39,15,1,0,185,0,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:31.660,0,0,9,98,87,105,97,0,6.4,4361,1583,6.47,65,17,11.1,46,526,672,661,86,316,40,15,155,1,243,0,-331,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:32.160,0,0,9,98,85,107,97,86,6.4,4361,1583,6.39,68,17,11.1,46,526,689,630,96,201,40,15,79,1,256,0,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:32.660,0,0,9,100,88,107,97,68,6.4,5856,3539,6.39,70,17,11.1,46,526,673,630,300,193,40,15,-5,1,260,0,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:33.160,0,0,9,100,87,104,96,65,6.4,5856,3539,6.47,68,17,11.1,47,526,811,623,99,105,40,15,-26,3,286,1,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:33.660,0,0,9,100,88,105,96,65,6.4,5856,3539,6.46,65,17,11.1,48,526,926,626,99,105,40,15,0,33,343,23,-331,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:34.160,0,0,9,96,86,105,97,0,6.5,5856,3539,6.48,65,17,11.1,48,526,1051,665,113,260,41,15,-26,1,483,3,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:34.660,0,0,9,96,85,98,97,100,6.5,9089,9060,6.48,67,17,11.1,49,526,1062,667,133,112,41,15,-4,58,420,0,-331,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:35.160,0,0,9,100,87,102,95,100,6.5,9089,9060,6.47,64,17,11.1,51,526,1141,662,137,175,41,15,1,60,420,0,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:35.660,0,0,9,100,91,97,97,100,6.5,9089,9060,6.44,70,17,11.1,52,526,1186,660,151,120,41,15,-131,38,356,-11,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:36.160,0,0,9,100,93,95,97,42,6.5,9089,9060,6.44,66,18,11.1,53,526,1163,660,146,253,42,15,-131,-11,410,-70,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:36.660,0,0,9,100,80,85,99,100,6.5,0,12122,6.48,69,20,11.1,54,526,1147,650,158,72,42,15,-116,-70,426,-113,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:37.160,0,0,9,100,82,85,99,100,6.5,0,12122,6.48,66,17,11.1,54,526,1129,666,158,214,42,15,-93,-1,366,-1,-331,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:37.660,0,0,9,100,81,81,98,0,6.5,0,12122,6.47,62,17,11.1,56,526,1074,659,158,214,42,15,-54,-44,378,40,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:38.160,0,0,9,100,82,85,98,47,6.5,0,12122,6.47,70,17,11.1,57,526,1123,664,175,72,42,15,-41,-44,378,27,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:38.660,0,0,9,100,82,85,96,48,6.5,12282,11973,6.46,70,17,11.1,59,526,1138,665,136,248,43,15,-4,-3,388,80,-331,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.9
2022-06-04,16:08:39.160,0,0,10,98,80,88,99,100,6.5,12282,11973,6.48,65,17,11.1,60,527,1095,653,142,108,43,15,2,-42,381,37,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:39.660,0,0,10,98,85,88,99,100,6.5,12282,11973,6.48,68,17,11.1,61,526,1125,653,153,80,43,15,12,-16,361,0,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:40.160,0,0,10,100,86,88,99,96,6.5,12282,11973,6.51,71,17,11.1,62,526,1123,654,140,71,43,15,1,0,328,0,-331,-1024,-95,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
2022-06-04,16:08:40.660,0,0,10,100,88,92,99,96,6.5,12282,11920,6.49,63,17,11.1,62,526,1087,663,140,199,43,15,2,-3,483,-9,-331,-1024,-96,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.9
