Date,Time,5100,5101,5102,5103,RSSI(dB),TRSS(dB),TQly,5104,RxBt(V),5105,5106,Cels(V),5107,5108,A2(V),5109,5119,511B,511C,511D,511E,511F,511G,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,08:08:27.410,0,0,0,16,87,108,100,100,6.6,0,0,6.52,68,18,11.3,17,526,0,0,85,113,9,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:08:27.900,0,0,0,16,82,96,97,0,6.6,0,0,6.52,63,18,11.3,17,526,0,0,85,113,9,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:08:28.400,0,0,0,16,92,111,97,98,6.6,0,0,6.52,65,18,11.3,17,526,0,0,85,120,9,18,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:08:28.900,0,0,1,7,87,95,98,0,6.6,0,0,6.52,72,18,11.3,17,526,0,0,86,112,9,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:08:29.400,0,0,1,7,83,112,98,0,6.6,0,0,6.52,72,18,11.3,17,526,0,0,86,112,9,18,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:08:29.930,0,0,1,7,82,101,98,0,6.6,0,0,6.52,72,18,11.3,17,526,0,0,86,111,10,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-04,08:08:30.430,0,0,1,7,83,112,98,100,6.6,0,0,6.52,69,18,11.3,17,526,0,0,86,112,10,18,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-04,08:08:30.930,0,0,1,7,83,107,99,100,6.6,0,0,6.53,70,18,11.3,17,525,0,0,85,126,10,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:31.430,0,0,1,7,83,95,100,0,6.6,0,0,6.53,67,18,11.3,17,526,0,0,87,113,10,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:31.930,0,0,1,7,88,112,100,39,6.6,0,0,6.52,72,18,11.3,17,526,0,0,84,113,10,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:32.430,0,0,1,7,77,109,98,53,6.6,0,0,6.52,68,18,11.3,17,526,0,0,85,133,10,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:32.930,0,0,1,7,79,119,98,0,6.6,0,0,6.52,64,18,11.3,17,526,0,0,86,112,10,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-04,08:08:33.430,0,0,1,7,86,117,96,100,6.6,0,0,6.52,66,18,11.3,17,526,0,0,85,145,11,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-04,08:08:33.930,0,0,1,7,89,123,96,100,6.6,0,0,6.52,66,18,11.3,17,526,0,0,85,145,11,18,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-04,08:08:34.430,0,0,1,7,81,119,78,0,6.6,0,0,6.52,69,18,11.3,17,526,0,0,85,112,11,18,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-04,08:08:34.930,0,0,1,7,80,108,71,29,6.6,0,0,6.52,69,18,11.3,17,526,0,0,85,113,11,18,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:35.430,0,0,1,7,86,121,71,92,6.6,0,0,6.52,71,18,11.3,17,526,0,0,84,126,11,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:35.930,0,0,1,7,80,102,100,0,6.6,0,0,6.52,71,18,11.3,17,526,0,0,86,111,12,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:36.430,0,0,1,7,85,122,100,61,6.6,0,0,6.52,71,18,11.3,17,526,0,0,86,114,12,18,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-04,08:08:36.930,0,0,1,7,89,120,99,61,6.6,0,0,6.52,70,18,11.3,17,526,0,0,85,121,12,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-04,08:08:37.430,0,0,1,7,92,124,99,61,6.6,0,0,6.52,70,18,11.3,17,526,0,0,85,121,12,18,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
