Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,CELS,BatA,BmAH,BatV,Cel1,Cel2,TeeV,AmbT,CanT,EngT
1970-01-01,00:00:04.4494,ERR,ErrD,0,0,0,72,100,28,16,409,43.06,0,10195,860,0,0.00,0.00,0.85,18.49,6.52,1.13,0.49,6.49,3.25,3.27,5.25,0.00,18.12,17.63
1970-01-01,00:00:04.4704,ERR,ErrD,0,0,0,73,100,0,16,409,42.47,0,14336,868,0,0.00,0.00,0.87,18.49,6.52,1.96,0.87,6.49,3.25,3.27,5.25,0.00,18.12,17.63
1970-01-01,00:00:04.4904,ERR,ErrD,0,0,0,88,100,68,16,409,46.59,0,11377,1195,0,0.00,0.00,0.87,18.29,6.52,1.96,0.87,6.46,3.25,3.27,5.26,0.00,18.09,17.60
1970-01-01,00:00:05.5104,ERR,ErrD,0,0,0,110,100,66,16,0,45.45,5621,10186,1351,0,0.00,0.00,0.87,18.44,6.49,1.96,0.87,6.48,3.23,3.26,5.26,0.00,17.81,17.71
1970-01-01,00:00:05.5304,ERR,ErrD,0,0,0,132,100,84,16,0,44.70,5621,19061,1523,0,0.00,0.00,0.86,18.28,6.49,1.13,1.03,6.52,3.23,3.26,5.25,0.00,17.95,17.66
1970-01-01,00:00:05.5504,ERR,ErrD,0,0,0,154,100,87,16,0,44.81,4466,19061,1687,0,0.00,0.00,0.86,18.30,6.49,1.13,1.03,6.47,3.23,3.26,5.26,0.00,17.92,17.69
1970-01-01,00:00:05.5706,ERR,ErrD,0,0,0,176,100,77,16,0,44.32,7791,19061,1776,0,0.00,0.00,0.85,18.44,6.49,1.44,1.23,6.50,3.23,3.26,5.25,0.00,18.10,17.80
1970-01-01,00:00:05.5906,ERR,ErrD,0,0,0,197,100,31,16,0,45.18,5431,21582,1613,0,0.00,0.00,0.85,18.47,6.47,1.44,1.23,6.43,3.23,3.23,5.25,0.00,17.83,17.67
1970-01-01,00:00:06.6106,ERR,ErrD,0,0,0,219,100,0,16,0,44.29,7795,10319,1441,0,0.00,0.00,0.85,18.27,6.47,1.44,1.23,6.48,3.23,3.23,5.25,0.00,17.96,17.79
1970-01-01,00:00:06.6306,ERR,ErrD,0,0,0,241,100,0,16,0,43.57,7676,16431,1277,0,0.00,0.00,0.88,18.53,6.47,2.75,1.61,6.48,3.23,3.23,5.25,0.00,18.04,17.79
1970-01-01,00:00:06.6506,ERR,ErrD,0,0,0,263,100,0,16,0,44.11,7663,16431,1121,0,0.00,0.00,0.88,18.20,6.50,2.75,1.61,6.48,3.24,3.26,5.26,0.00,17.98,17.75
1970-01-01,00:00:06.6706,ERR,ErrD,0,0,0,285,100,0,16,0,43.86,8154,18516,950,0,0.00,0.00,0.88,18.32,6.50,2.75,1.61,6.50,3.24,3.26,5.25,0.00,17.66,17.59
1970-01-01,00:00:06.6906,ERR,ErrD,0,0,0,307,100,0,16,0,43.32,7692,11543,787,0,0.00,0.00,0.87,18.22,6.50,1.20,1.78,6.54,3.24,3.26,5.25,0.00,18.14,17.64
1970-01-01,00:00:07.7106,ERR,ErrD,0,0,0,329,100,25,16,0,43.47,7657,16145,624,0,0.00,0.00,0.87,18.22,6.50,1.20,1.78,6.50,3.24,3.26,5.25,0.00,17.89,17.75
1970-01-01,00:00:07.7306,ERR,ErrD,0,0,0,351,100,16,16,0,43.02,6249,16145,459,0,0.00,0.00,0.85,18.32,6.51,1.12,1.94,6.52,3.25,3.26,5.26,0.00,18.19,17.78
1970-01-01,00:00:07.7506,ERR,ErrD,0,0,0,373,100,0,16,0,43.43,7663,17553,304,0,0.00,0.00,0.85,18.78,6.51,1.12,1.94,6.47,3.25,3.26,5.26,0.00,18.07,17.75
1970-01-01,00:00:07.7706,ERR,ErrD,0,0,0,395,100,0,16,0,43.80,6558,20109,196,0,0.00,0.00,0.85,18.60,6.51,1.12,1.94,6.51,3.25,3.26,5.26,0.00,18.02,17.83
1970-01-01,00:00:07.7906,ERR,ErrD,0,0,0,417,100,0,16,0,43.41,7667,12522,368,0,0.00,0.00,0.86,18.30,6.51,1.58,2.16,6.42,3.25,3.26,5.26,0.00,17.64,17.84
1970-01-01,00:00:08.8106,ERR,ErrD,0,0,0,439,100,0,16,0,43.96,5451,12656,532,0,0.00,0.00,0.86,18.21,6.49,1.58,2.16,6.51,3.23,3.26,5.25,0.00,17.86,17.62
1970-01-01,00:00:08.8306,ERR,ErrD,0,0,0,461,100,0,16,0,44.03,7661,13257,696,0,0.00,0.00,0.86,18.47,6.49,1.17,2.32,6.47,3.23,3.26,5.26,0.00,17.93,17.75
1970-01-01,00:00:08.8506,ERR,ErrD,0,0,0,483,100,0,16,0,43.89,6306,20471,851,0,0.00,0.00,0.86,18.33,6.49,1.17,2.32,6.45,3.23,3.26,5.26,0.00,17.69,17.68
1970-01-01,00:00:08.8706,ERR,ErrD,0,0,0,505,100,0,16,0,44.16,7552,12996,1024,0,0.00,0.00,0.86,18.21,6.51,1.17,2.32,6.40,3.24,3.27,5.26,0.00,18.00,17.75
1970-01-01,00:00:08.8906,ERR,ErrD,0,0,0,527,100,0,16,0,43.83,7442,12996,1187,0,0.00,0.00,0.86,18.36,6.51,1.52,2.53,6.49,3.24,3.27,5.25,0.00,18.13,17.67
1970-01-01,00:00:09.9106,ERR,ErrD,0,0,0,549,100,0,16,0,43.53,7050,19647,1351,0,0.00,0.00,0.86,18.24,6.51,1.52,2.53,6.48,3.24,3.27,5.25,0.00,17.90,17.77
1970-01-01,00:00:09.9306,ERR,ErrD,0,0,0,571,100,0,16,0,43.78,7511,19647,1507,0,0.00,0.00,0.87,18.24,6.51,1.67,2.77,6.49,3.24,3.27,5.25,0.00,18.06,17.81
1970-01-01,00:00:09.9506,ERR,ErrD,0,0,0,592,100,0,16,0,43.41,7511,19647,1680,0,0.00,0.00,0.87,18.23,6.50,1.67,2.77,6.51,3.25,3.25,5.25,0.00,17.72,17.85
1970-01-01,00:00:09.9706,ERR,ErrD,0,0,0,614,100,0,16,0,43.49,8907,11227,1776,0,0.00,0.00,0.87,18.31,6.50,1.67,2.77,6.51,3.25,3.25,5.26,0.00,17.84,17.68
1970-01-01,00:00:09.9906,ERR,ErrD,0,0,0,636,100,7,16,0,43.40,8899,16443,1621,0,0.00,0.00,0.86,18.25,6.50,1.20,2.93,6.53,3.25,3.25,5.26,0.00,17.73,17.72
1970-01-01,00:00:10.10106,ERR,ErrD,0,0,0,658,100,6,16,0,43.31,5078,16443,1449,0,0.00,0.00,0.86,18.24,6.50,1.20,2.93,6.52,3.25,3.25,5.25,0.00,17.85,17.66
