Date,Time,510A(V),ERR,ErrD,A2(V),TFC,BFP(%),E2EQ(%),MAIN(rpm),CLUT(rpm),Cels(V),AmbT(@C),CanT(@C),RSSI(dB),RxBt(V),EngT(@C),5103,5100,5103,5104,Cel1(V),Cel2(V),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-03,17:06:59.480,0.00,0,0,11.2,2,100,27,2,1,6.54,0,18,86,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-03,17:06:59.900,0.00,0,0,11.2,2,100,0,2,1,6.54,0,18,91,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-03,17:07:00.400,0.00,0,0,11.2,2,100,0,2,1,6.54,0,18,86,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-03,17:07:00.910,0.00,0,0,11.2,2,100,38,2,1,6.55,0,18,84,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-03,17:07:01.450,0.00,0,0,11.2,2,98,100,2,1,6.54,0,18,86,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-03,17:07:01.960,0.00,0,0,11.2,3,98,35,2,1,6.55,0,18,85,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-03,17:07:02.500,0.00,0,0,11.2,3,98,0,2,1,6.55,0,18,85,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-03,17:07:03.010,0.00,0,0,11.2,3,100,0,2,1,6.55,0,18,86,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
