Date,Time,5100,5101,5102,5103,RSSI(dB),TRSS(dB),TQly,5104,RxBt(V),5105,5106,Cels(V),5107,5108,A2(V),5109,5119,511B,511C,511D,511E,511F,511G,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,08:09:15.090,0,0,5,100,84,116,100,0,6.6,0,0,6.52,0,17,11.4,17,526,0,0,84,111,24,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:09:15.580,0,0,6,98,83,105,99,0,6.6,0,0,6.52,0,17,11.4,17,526,0,0,85,113,25,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:09:16.080,0,0,6,98,84,120,99,75,6.6,0,0,6.52,0,17,11.4,17,526,0,0,87,123,25,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:09:16.580,0,0,6,100,83,109,100,0,6.6,0,0,6.52,0,17,11.4,17,526,0,0,85,113,25,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0x000000000000004C,7.6
2022-06-04,08:09:17.080,0,0,6,100,83,114,100,100,6.6,0,0,6.52,0,18,11.4,17,526,0,0,85,111,25,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:09:17.580,0,0,6,100,83,111,100,100,6.6,0,0,6.52,0,17,11.4,17,526,0,0,84,110,25,18,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:09:18.080,0,0,6,100,83,113,100,0,6.6,0,0,6.52,0,17,11.4,17,526,0,0,85,114,25,18,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0x000000000000404C,7.6
2022-06-04,08:09:18.580,0,0,6,100,83,113,99,0,6.6,0,0,6.52,0,17,11.4,17,526,0,0,85,121,26,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:09:19.080,0,0,6,100,83,99,99,100,6.6,0,0,6.52,0,18,11.4,17,526,0,0,84,144,26,18,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
