Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,CELS,BatA,BmAH,BatV,Cel1,Cel2,TeeV,AmbT,CanT,EngT
1970-01-01,00:00:04.4580,ERR,ErrD,0,0,0,75,100,0,16,455,41.33,0,10000,762,0,0.00,0.00,0.88,14.17,6.59,1.31,0.66,6.55,3.30,3.30,5.24,86.14,14.39,14.87
1970-01-01,00:00:04.4786,ERR,ErrD,0,0,0,76,100,0,16,455,40.79,0,10838,770,0,0.00,0.00,0.88,14.17,6.59,1.31,0.66,6.55,3.30,3.30,5.24,86.14,14.39,14.87
1970-01-01,00:00:04.4986,ERR,ErrD,0,0,0,92,100,0,16,455,42.39,0,13208,1097,0,0.00,0.00,0.88,14.13,6.59,1.31,0.66,6.52,3.30,3.30,5.24,87.26,14.52,14.80
1970-01-01,00:00:05.5186,ERR,ErrD,0,0,0,114,100,13,16,0,42.98,4441,9111,1252,0,0.00,0.00,0.87,14.16,6.59,1.15,0.82,6.55,3.30,3.30,5.24,87.90,14.59,14.81
1970-01-01,00:00:05.5386,ERR,ErrD,0,0,0,136,100,100,16,0,43.38,8927,15350,1416,0,0.00,0.00,0.87,14.14,6.59,1.15,0.82,6.53,3.30,3.30,5.23,92.96,14.83,14.76
1970-01-01,00:00:05.5586,ERR,ErrD,0,0,0,158,100,0,16,0,42.41,6865,19864,1580,0,0.00,0.00,0.88,14.17,6.59,1.54,1.03,6.51,3.30,3.30,5.24,87.43,14.73,14.80
1970-01-01,00:00:05.5786,ERR,ErrD,0,0,0,180,100,0,16,0,41.11,4714,22231,1744,0,0.00,0.00,0.88,14.14,6.59,1.54,1.03,6.55,3.30,3.30,5.24,89.61,14.65,14.87
1970-01-01,00:00:05.5986,ERR,ErrD,0,0,0,202,100,100,16,0,42.08,8947,9062,1703,0,0.00,0.00,0.88,17.13,6.59,1.54,1.03,6.19,3.30,3.30,5.24,0.00,18.57,15.01
1970-01-01,00:00:06.6186,ERR,ErrD,0,0,0,224,100,0,16,0,41.96,8929,16130,1547,0,0.00,0.00,0.89,14.12,6.57,1.75,1.28,6.50,3.28,3.30,5.25,0.00,18.14,15.18
1970-01-01,00:00:06.6386,ERR,ErrD,0,0,0,246,100,0,16,0,41.87,8939,17158,1383,0,0.00,0.00,0.89,14.15,6.57,1.75,1.28,6.57,3.28,3.30,5.24,0.00,18.85,14.85
1970-01-01,00:00:06.6586,ERR,ErrD,0,0,0,268,100,100,16,0,42.16,7700,19244,1211,0,0.00,0.00,0.88,14.15,6.57,1.15,1.43,6.56,3.28,3.30,5.24,0.00,18.77,15.00
1970-01-01,00:00:06.6786,ERR,ErrD,0,0,0,290,100,100,16,0,42.07,6212,19244,1056,0,0.00,0.00,0.88,14.16,6.59,1.15,1.43,6.55,3.29,3.30,5.24,0.00,18.50,15.21
1970-01-01,00:00:06.6986,ERR,ErrD,0,0,0,312,100,100,16,39,42.63,8931,11523,893,0,0.00,0.00,0.88,14.11,6.59,1.15,1.43,6.53,3.29,3.30,5.25,0.00,18.93,15.00
1970-01-01,00:00:07.7186,ERR,ErrD,0,0,0,334,100,100,16,39,42.22,5230,21569,729,0,0.00,0.00,0.89,14.13,6.59,1.14,1.59,6.56,3.29,3.30,5.25,0.00,18.51,15.13
1970-01-01,00:00:07.7386,ERR,ErrD,0,0,0,355,100,100,16,39,41.97,5230,21569,565,0,0.00,0.00,0.89,14.17,6.59,1.14,1.59,6.57,3.29,3.30,5.24,0.00,18.46,15.16
1970-01-01,00:00:07.7586,ERR,ErrD,0,0,0,377,100,86,16,39,41.91,4349,22666,401,0,0.00,0.00,0.88,14.14,6.58,1.31,1.78,6.53,3.29,3.30,5.24,0.00,18.54,15.16
1970-01-01,00:00:07.7786,ERR,ErrD,0,0,0,399,100,85,16,0,41.85,8925,22666,229,0,0.00,0.00,0.88,14.16,6.58,1.31,1.78,6.57,3.29,3.30,5.24,0.00,18.41,15.03
1970-01-01,00:00:07.7986,ERR,ErrD,0,0,0,421,100,70,16,0,42.04,8927,15308,262,0,0.00,0.00,0.88,14.10,6.58,1.31,1.78,6.54,3.29,3.30,5.25,0.00,18.46,15.03
1970-01-01,00:00:08.8186,ERR,ErrD,0,0,0,443,100,0,16,0,42.21,8191,18579,426,0,0.00,0.00,0.88,14.12,6.58,1.14,1.93,6.53,3.30,3.29,5.25,0.00,18.64,15.43
1970-01-01,00:00:08.8386,ERR,ErrD,0,0,0,465,100,100,16,0,41.94,8931,10000,598,0,0.00,0.00,0.88,14.17,6.58,1.14,1.93,6.53,3.30,3.29,5.25,0.00,18.50,15.21
1970-01-01,00:00:08.8586,ERR,ErrD,0,0,0,487,100,100,16,0,42.30,6324,11735,754,0,0.00,0.00,0.88,14.13,6.58,1.13,2.09,6.55,3.30,3.29,5.24,0.00,18.85,14.80
1970-01-01,00:00:08.8786,ERR,ErrD,0,0,0,509,100,100,16,0,42.63,8928,13285,917,0,0.00,0.00,0.88,14.12,6.58,1.13,2.09,6.55,3.30,3.29,5.26,0.00,18.21,15.01
1970-01-01,00:00:08.8986,ERR,ErrD,0,0,0,531,100,92,16,0,42.37,8924,14312,1080,0,0.00,0.00,0.88,14.13,6.58,1.13,2.09,6.56,3.30,3.29,5.24,0.00,18.55,15.18
1970-01-01,00:00:09.9186,ERR,ErrD,0,0,0,552,100,0,16,0,42.57,4359,22638,1244,0,0.00,0.00,0.88,14.13,6.58,1.29,2.27,6.54,3.30,3.29,5.24,0.00,18.34,15.04
1970-01-01,00:00:09.9386,ERR,ErrD,0,0,0,574,100,0,16,0,42.68,4359,22638,1416,0,0.00,0.00,0.88,14.13,6.58,1.29,2.27,6.57,3.30,3.29,5.25,0.00,18.62,15.21
1970-01-01,00:00:09.9586,ERR,ErrD,0,0,0,596,100,0,16,0,42.62,8892,22638,1571,0,0.00,0.00,0.88,14.15,6.58,1.15,2.43,6.53,3.30,3.29,5.24,0.00,18.54,15.06
1970-01-01,00:00:09.9786,ERR,ErrD,0,0,0,616,100,100,16,0,43.02,8925,13770,1735,0,0.00,0.00,0.88,14.16,6.58,1.15,2.43,6.53,3.29,3.30,5.25,0.00,18.45,14.94
1970-01-01,00:00:09.9986,ERR,ErrD,0,0,0,638,100,0,16,0,42.79,6829,19891,1719,0,0.00,0.00,0.88,14.14,6.58,1.15,2.43,6.52,3.29,3.30,5.23,0.00,18.82,15.04
1970-01-01,00:00:10.10186,ERR,ErrD,0,0,0,660,100,0,16,0,42.58,6829,19891,1547,0,0.00,0.00,0.88,14.18,6.58,1.15,2.59,6.54,3.29,3.30,5.24,0.00,18.16,15.09
1970-01-01,00:00:10.10386,ERR,ErrD,0,0,0,682,100,0,16,0,42.82,8690,19891,1392,0,0.00,0.00,0.88,14.19,6.58,1.15,2.59,6.54,3.29,3.30,5.24,0.00,18.80,14.95
1970-01-01,00:00:10.10586,ERR,ErrD,0,0,0,704,100,100,16,0,42.76,8926,14064,1219,0,0.00,0.00,0.88,14.15,6.58,1.25,2.76,6.52,3.29,3.30,5.24,0.00,18.68,15.20
1970-01-01,00:00:10.10786,ERR,ErrD,0,0,0,726,100,20,16,63,42.84,8811,17730,1064,0,0.00,0.00,0.88,14.15,6.58,1.25,2.76,6.54,3.29,3.30,5.24,0.00,18.54,14.98
1970-01-01,00:00:10.10986,ERR,ErrD,0,0,0,747,100,15,16,63,43.24,8559,18260,901,0,0.00,0.00,0.88,14.15,6.58,1.25,2.76,6.56,3.29,3.30,5.24,0.00,18.81,15.24
1970-01-01,00:00:11.11186,ERR,ErrD,0,0,0,769,100,100,16,63,43.04,8876,10000,729,0,0.00,0.00,0.88,14.14,6.58,1.15,2.92,6.53,3.29,3.30,5.24,0.00,18.32,14.92
1970-01-01,00:00:11.11386,ERR,ErrD,0,0,0,791,100,100,16,63,43.24,6781,11464,573,0,0.00,0.00,0.88,14.17,6.58,1.15,2.92,6.53,3.29,3.30,5.24,0.00,18.44,15.19
1970-01-01,00:00:11.11586,ERR,ErrD,0,0,0,813,100,100,16,0,43.17,8190,13714,410,0,0.00,0.00,0.88,14.12,6.58,1.15,3.08,6.54,3.29,3.30,5.24,0.00,18.50,15.34
1970-01-01,00:00:11.11786,ERR,ErrD,0,0,0,835,100,0,16,0,42.99,6334,20416,246,0,0.00,0.00,0.88,14.14,6.58,1.15,3.08,6.52,3.29,3.30,5.24,0.00,18.49,15.01
1970-01-01,00:00:11.11986,ERR,ErrD,0,0,0,857,100,0,16,0,43.29,6334,20416,262,0,0.00,0.00,0.88,14.11,6.58,1.15,3.08,6.51,3.29,3.30,5.25,0.00,18.43,15.04
1970-01-01,00:00:12.12186,ERR,ErrD,0,0,0,879,100,0,16,0,43.34,5717,20416,418,0,0.00,0.00,0.88,14.14,6.58,1.28,3.26,6.56,3.29,3.30,5.25,0.00,18.45,15.35
1970-01-01,00:00:12.12386,ERR,ErrD,0,0,0,901,100,0,16,0,43.40,8875,13578,582,0,0.00,0.00,0.88,14.13,6.58,1.28,3.26,6.55,3.29,3.30,5.24,0.00,18.50,14.94
1970-01-01,00:00:12.12586,ERR,ErrD,0,0,0,923,100,82,16,0,43.45,8565,15842,745,0,0.00,0.00,0.90,14.16,6.57,1.15,3.42,6.54,3.30,3.28,5.24,0.00,18.27,15.05
1970-01-01,00:00:12.12787,ERR,ErrD,0,0,0,945,100,0,16,0,43.28,5084,21883,917,0,0.00,0.00,0.90,14.15,6.57,1.15,3.42,6.52,3.30,3.28,5.24,0.00,18.41,15.22
