Date,Time,510A(V),ERR,ErrD,A2(V),TFC,BFP(%),E2EQ(%),MAIN(rpm),CLUT(rpm),Cels(V),AmbT(@C),CanT(@C),RSSI(dB),RxBt(V),EngT(@C),5103,5100,5103,5104,Cel1(V),Cel2(V),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-03,17:07:37.010,0.00,0,0,11.3,6,100,47,2,1,6.55,0,18,85,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-03,17:07:37.500,0.00,0,0,11.3,6,100,0,2,1,6.55,0,18,86,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-03,17:07:38.000,0.00,0,0,11.3,6,98,47,2,1,6.55,0,18,86,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-03,17:07:38.500,0.00,0,0,11.3,6,100,0,2,1,6.56,0,18,81,6.6,20,0,0,0,0,3.27,3.29,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-03,17:07:39.000,0.00,0,0,11.3,7,100,0,2,1,6.55,0,18,87,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-03,17:07:39.500,0.00,0,0,11.3,7,100,48,2,1,6.55,0,18,86,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-03,17:07:40.000,0.00,0,0,11.3,7,100,0,2,1,6.55,0,18,80,6.6,20,0,0,0,0,3.26,3.29,19,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-03,17:07:40.500,0.00,0,0,11.3,7,100,48,2,1,6.55,0,18,85,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-03,17:07:41.000,0.00,0,0,11.3,7,100,0,2,1,6.55,0,18,80,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-03,17:07:41.500,0.00,0,0,11.3,7,100,48,2,1,6.55,0,18,81,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-03,17:07:42.000,0.00,0,0,11.3,7,100,0,2,1,6.54,0,18,88,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.6
2022-06-03,17:07:42.500,0.00,0,0,11.3,7,100,48,2,1,6.54,0,18,81,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.6
2022-06-03,17:07:43.000,0.00,0,0,11.3,7,100,0,2,1,6.55,0,18,85,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.6
2022-06-03,17:07:43.500,0.00,0,0,11.3,7,100,47,2,1,6.55,0,18,80,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.6
2022-06-03,17:07:44.000,0.00,0,0,11.3,7,100,0,2,1,6.55,0,18,82,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.6
2022-06-03,17:07:44.500,0.00,0,0,11.3,7,100,69,2,1,6.55,0,18,78,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.7
2022-06-03,17:07:45.000,0.00,0,0,11.3,7,100,69,2,1,6.54,0,18,83,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.7
2022-06-03,17:07:45.500,0.00,0,0,11.3,7,100,80,2,1,6.55,0,18,77,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.7
2022-06-03,17:07:46.000,0.00,0,0,11.3,7,100,0,2,1,6.55,0,18,83,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-03,17:07:46.500,0.00,0,0,11.3,7,100,0,2,1,6.54,0,18,86,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-03,17:07:47.000,0.00,0,0,11.3,7,100,0,2,1,6.54,0,18,81,6.6,20,0,0,0,0,3.27,3.27,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
