Date,Time,510A(V),ERR,ErrD,A2(V),TFC,BFP(%),E2EQ(%),MAIN(rpm),CLUT(rpm),Cels(V),AmbT(@C),CanT(@C),RSSI(dB),RxBt(V),EngT(@C),5103,5100,5103,5104,Cel1(V),Cel2(V),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-03,17:07:22.870,0.00,0,0,11.3,5,98,57,2,1,6.55,0,18,73,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,997,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-03,17:07:23.360,0.00,0,0,11.3,5,100,0,2,1,6.55,0,18,83,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-03,17:07:23.870,0.00,0,0,11.3,5,100,0,2,1,6.55,0,18,76,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,997,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-03,17:07:24.370,0.00,0,0,11.3,5,100,23,2,1,6.56,0,18,74,6.6,20,0,0,0,0,3.27,3.29,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-03,17:07:24.870,0.00,0,0,11.3,5,100,46,2,1,6.55,0,18,74,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-03,17:07:25.370,0.00,0,0,11.3,5,100,100,2,1,6.55,0,18,78,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,997,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.6
2022-06-03,17:07:25.870,0.00,0,0,11.3,5,100,0,2,1,6.55,0,18,74,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.6
2022-06-03,17:07:26.370,0.00,0,0,11.3,5,100,0,2,1,6.56,0,18,79,6.6,20,0,0,0,0,3.27,3.29,19,-1,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000000024,7.6
2022-06-03,17:07:26.870,0.00,0,0,11.3,5,100,46,2,1,6.55,0,18,73,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,997,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-03,17:07:27.370,0.00,0,0,11.3,5,100,23,2,1,6.55,0,19,74,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-03,17:07:27.870,0.00,0,0,11.3,5,100,0,2,1,6.55,0,18,80,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.6
2022-06-03,17:07:28.370,0.00,0,0,11.3,5,100,49,2,1,6.55,0,18,75,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,993,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
