Date,Time,5100,5101,5102,5103,RSSI(dB),TRSS(dB),TQly,5104,RxBt(V),5105,5106,Cels(V),5107,5108,A2(V),5109,5119,511B,511C,511D,511E,511F,511G,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,08:08:22.580,0,0,0,16,79,106,98,0,6.6,0,0,6.52,67,18,11.3,17,526,0,0,85,113,7,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:08:23.000,0,0,0,16,86,108,98,100,6.6,0,0,6.52,67,18,11.3,17,526,0,0,85,114,7,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:08:23.500,0,0,0,16,82,104,100,0,6.6,0,0,6.52,65,18,11.3,17,526,0,0,86,130,7,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:08:24.000,0,0,0,16,79,108,97,100,6.6,0,0,6.52,67,18,11.3,17,526,0,0,85,113,8,18,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:08:24.500,0,0,0,16,80,95,97,0,6.6,0,0,6.52,66,18,11.3,17,526,0,0,85,183,8,18,0,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.6
2022-06-04,08:08:25.000,0,0,0,16,82,106,100,100,6.6,0,0,6.52,69,18,11.3,17,525,0,0,86,129,8,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:08:25.500,0,0,0,16,88,95,100,82,6.6,0,0,6.52,66,18,11.3,17,526,0,0,86,113,8,18,0,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:08:26.000,0,0,0,16,76,104,99,78,6.6,0,0,6.52,69,18,11.3,17,526,0,0,85,113,8,18,0,-1,-1024,0,-107,-1024,487,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
2022-06-04,08:08:26.500,0,0,0,16,85,105,99,92,6.6,0,0,6.52,69,18,11.3,17,526,0,0,86,126,8,18,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
