Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),AmbT,CanT,A2(V),EngT,Tst1,Tst2,Tet3,Tet4,Tst5,Tst6,Tst7,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-05,07:04:24.930,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400E,7.5
2022-06-05,07:04:25.440,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.5
2022-06-05,07:04:25.980,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.5
2022-06-05,07:04:26.560,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0x000000000000008C,7.5
2022-06-05,07:04:27.080,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0x000000000000008C,7.5
2022-06-05,07:04:27.600,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.5
2022-06-05,07:04:28.150,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.5
2022-06-05,07:04:28.650,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.5
2022-06-05,07:04:29.150,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.5
2022-06-05,07:04:29.740,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0x000000000000004C,7.5
