Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,CELS,BatA,BmAH,BatV,Cel1,Cel2,TeeV,AmbT,CanT,EngT
1970-01-01,00:00:03.3725,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.75,0.00,1.03,0.57,6.62,0.00,0.00,5.26,73.21,20.46,21.08
1970-01-01,00:00:03.3925,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.75,0.00,1.03,0.57,6.64,0.00,0.00,5.26,73.21,20.46,21.08
1970-01-01,00:00:04.4125,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.74,0.00,3.03,0.99,6.63,0.00,0.00,5.26,69.96,20.32,21.06
1970-01-01,00:00:04.4325,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.66,0.00,3.03,0.99,6.64,0.00,0.00,5.26,68.79,20.44,21.01
1970-01-01,00:00:04.4525,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.74,0.00,3.03,0.99,6.60,0.00,0.00,5.26,70.26,20.40,21.15
1970-01-01,00:00:04.4725,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.86,20.81,0.00,1.73,1.23,6.62,0.00,0.00,5.26,72.55,20.50,21.10
1970-01-01,00:00:04.4925,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.86,20.72,0.00,1.73,1.23,6.60,0.00,0.00,5.26,70.43,20.42,21.08
1970-01-01,00:00:05.5125,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.80,0.00,1.85,1.49,6.48,0.00,0.00,5.26,69.64,20.51,21.10
1970-01-01,00:00:05.5325,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.78,0.00,1.85,1.49,6.56,0.00,0.00,5.26,70.46,20.34,21.09
1970-01-01,00:00:05.5525,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.72,0.00,1.85,1.49,6.59,0.00,0.00,5.26,69.30,20.46,21.07
1970-01-01,00:00:05.5725,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.86,20.66,0.00,1.19,1.65,6.56,0.00,0.00,5.26,70.88,20.49,21.13
1970-01-01,00:00:05.5925,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.86,20.66,0.00,1.19,1.65,6.63,0.00,0.00,5.26,75.44,20.43,21.16
1970-01-01,00:00:06.6125,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.68,0.00,1.17,1.81,6.63,0.00,0.00,5.26,70.43,20.46,21.02
1970-01-01,00:00:06.6325,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.66,0.00,1.17,1.81,6.63,0.00,0.00,5.26,67.22,20.39,21.16
1970-01-01,00:00:06.6525,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.85,20.68,0.00,1.17,1.81,6.63,0.00,0.00,5.26,71.90,20.51,21.09
1970-01-01,00:00:06.6725,ERR,ErrD,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0.86,20.75,0.00,2.76,2.20,6.60,0.00,0.00,5.26,73.28,20.43,21.15
