Date,Time,5100,5101,5102,5103,RSSI(dB),TRSS(dB),TQly,5104,RxBt(V),5105,5106,Cels(V),5107,5108,A2(V),5109,5119,511B,511C,511D,511E,511F,511G,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-04,07:46:24.680,0,0,5,100,78,102,97,0,6.6,0,0,6.54,68,16,11.1,17,525,0,0,85,114,16,17,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-04,07:46:25.100,0,0,5,100,77,103,91,100,6.6,0,0,6.54,68,16,11.1,16,525,0,0,86,116,16,16,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-04,07:46:25.600,0,0,5,100,86,106,91,100,6.6,0,0,6.54,70,16,11.1,17,525,0,0,86,124,17,16,0,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-04,07:46:26.100,0,0,5,100,87,106,97,100,6.6,0,0,6.54,68,16,11.1,16,525,0,0,84,113,17,17,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-04,07:46:26.600,0,0,5,100,80,89,97,100,6.6,0,0,6.54,69,16,11.1,16,524,0,0,85,113,17,16,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-04,07:46:27.100,0,0,5,100,82,91,98,48,6.6,0,0,6.55,64,16,11.1,17,524,0,0,85,126,17,16,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
2022-06-04,07:46:27.600,0,0,5,100,86,103,96,0,6.6,0,0,6.55,69,16,11.1,17,525,0,0,84,113,17,16,-1,-1,-1024,-1,-107,-1024,487,-1024,-1024,0,0,1004,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.7
