Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),Cel1(V),Cel2(V),AmbT,CanT,A2(V),EngT,BatA(A),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-07,19:32:11.420,20,0,0,0,84,111,100,0,6.6,0,0,6.54,3.27,3.27,70,17,11.1,0,0.3,0,-1,-1024,0,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000000,8.1
2022-06-07,19:32:11.880,20,0,0,16,85,116,99,30,6.6,0,0,6.54,3.27,3.27,70,17,11.1,0,0.3,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000000,8.1
2022-06-07,19:32:12.380,4,0,0,16,85,115,99,30,6.6,0,0,6.54,3.27,3.27,70,17,11.1,0,0.4,0,-3,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:12.880,4,0,0,16,86,111,98,55,6.6,0,0,6.54,3.27,3.27,69,17,11.1,17,0.4,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:13.380,0,0,0,16,85,116,98,55,6.6,0,0,6.54,3.27,3.27,69,17,11.1,17,0.3,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:13.880,0,0,0,16,85,116,99,55,6.6,0,0,6.54,3.27,3.27,75,17,11.1,17,0.3,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:14.380,0,0,0,16,85,114,99,78,6.6,0,0,6.54,3.27,3.27,72,17,11.1,17,0.3,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:14.880,0,0,0,16,85,114,99,85,6.6,0,0,6.54,3.27,3.27,72,17,11.1,17,0.3,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:15.380,0,0,0,16,85,112,99,85,6.6,0,0,6.54,3.27,3.27,72,17,11.1,17,0.4,0,-1,-1024,0,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:15.880,0,0,0,16,84,114,99,100,6.6,0,0,6.54,3.27,3.27,73,16,11.1,17,0.4,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:16.380,0,0,0,16,84,111,99,100,6.6,0,0,6.54,3.27,3.27,73,16,11.1,17,0.4,0,-1,-1024,0,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:16.880,0,0,0,16,84,113,99,100,6.5,0,0,6.54,3.27,3.27,73,17,11.1,17,0.8,0,-3,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:17.380,0,0,0,16,83,112,99,100,6.5,0,0,6.54,3.27,3.27,68,16,11.1,17,0.8,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:17.880,0,0,0,16,84,116,99,0,6.5,0,0,6.54,3.27,3.27,68,16,11.1,17,0.8,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:18.380,0,0,0,16,85,116,96,0,6.5,0,0,6.54,3.27,3.27,75,16,11.1,17,1.2,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:18.880,0,0,0,16,84,114,97,0,6.5,0,0,6.54,3.27,3.27,71,16,11.1,17,1.2,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:19.380,0,0,0,16,84,114,97,0,6.5,0,0,6.54,3.27,3.27,71,16,11.0,17,1.2,0,-1,-1024,0,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:19.880,0,0,0,16,83,114,100,0,6.5,0,0,6.54,3.27,3.27,71,16,11.0,17,0.4,-1,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.1
2022-06-07,19:32:20.380,0,0,0,16,79,109,100,0,6.4,0,0,6.54,3.27,3.27,71,17,11.0,17,0.9,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:20.880,0,0,0,16,76,110,98,0,6.4,0,0,6.54,3.27,3.27,71,17,11.0,17,0.9,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.1
2022-06-07,19:32:21.380,0,0,0,16,80,112,98,0,6.3,0,0,6.54,3.27,3.27,71,17,11.0,17,2.1,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:32:21.880,0,0,0,16,85,109,100,0,6.3,0,22,6.54,3.27,3.27,71,16,11.0,17,2.1,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:32:22.380,0,0,0,16,75,117,99,0,6.4,0,22,6.54,3.27,3.27,71,16,11.1,17,2.1,0,-1,-1024,0,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:22.880,0,0,0,16,79,117,99,0,6.4,0,22,6.54,3.27,3.27,71,16,11.1,17,2.1,0,-1,-1024,0,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:23.380,0,0,0,16,74,115,93,0,6.5,0,0,6.54,3.27,3.27,71,16,11.1,17,0.4,0,-1,-1024,0,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:23.880,0,0,1,7,87,119,93,0,6.5,0,0,6.54,3.27,3.27,72,16,11.1,17,0.4,0,-1,-1024,-1,-392,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:24.380,0,0,1,7,87,115,96,0,6.6,0,0,6.54,3.27,3.27,72,16,11.1,17,0.4,0,-1,-1024,-1,-190,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:32:24.880,0,0,1,7,83,117,96,0,6.6,0,0,6.54,3.27,3.27,70,16,11.1,17,0.3,0,-1,-1024,-1,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:32:25.380,0,0,1,7,89,118,98,0,6.6,0,0,6.54,3.27,3.27,73,16,11.1,17,0.3,0,-1,-1024,-1,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:32:25.880,0,0,1,7,87,118,98,0,6.5,0,0,6.54,3.27,3.27,73,16,11.1,17,0.3,0,-1,-1024,-1,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
2022-06-07,19:32:26.380,0,0,1,7,75,121,99,0,6.4,0,0,6.54,3.27,3.27,71,16,11.0,17,2.1,0,-1,-1024,0,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:26.880,0,0,1,7,86,120,99,0,6.3,0,0,6.54,3.27,3.27,73,16,11.0,17,0.3,0,-1,-1024,-1,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:27.380,0,0,1,7,76,120,99,0,6.4,0,0,6.54,3.27,3.27,73,16,11.0,17,0.3,0,-1,-1024,-1,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:27.880,0,0,1,7,92,120,94,0,6.3,0,0,6.54,3.27,3.27,73,16,11.0,17,2.5,0,-1,-1024,-1,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000002,8.0
2022-06-07,19:32:28.380,0,0,1,7,79,121,94,0,6.3,0,0,6.54,3.27,3.27,71,16,11.0,17,2.5,0,-1,-1024,-1,-119,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000004002,8.0
