Date,Time,510A(V),ERR,ErrD,A2(V),TFC,BFP(%),E2EQ(%),MAIN(rpm),CLUT(rpm),Cels(V),AmbT(@C),CanT(@C),RSSI(dB),RxBt(V),EngT(@C),5103,5100,5103,5104,Cel1(V),Cel2(V),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-03,17:07:19.150,0.00,0,0,11.3,4,100,0,2,1,6.56,0,18,75,6.6,20,0,0,0,0,3.26,3.30,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,997,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-03,17:07:19.640,0.00,0,0,11.3,4,100,0,2,1,6.55,0,18,80,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,0,-107,-1024,486,-1024,-1024,0,0,997,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.7
2022-06-03,17:07:20.150,0.00,0,0,11.3,4,100,100,2,1,6.55,0,18,78,6.6,20,0,0,0,0,3.27,3.28,19,-1,-1,-1024,-1,-107,-1024,486,-1024,-1024,0,0,997,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.6
