Date,Time,ERR,ErrD,InFlight,MAIN,CLUT,TFCK,LFP,E2EQ,BFP,MCHM,16FS,SBLO,SBHI,Wav1,Wav2,RecV,BecV,BecA,BecT,CELS,BatA,BmAH,BatV,Cel1,Cel2,TeeV,AmbT,CanT,EngT
1970-01-01,00:00:04.4257,ERR,ErrD,0,0,0,83,100,0,16,410,44.58,0,16513,1785,0,0.00,0.00,0.86,18.27,6.51,1.27,0.64,6.51,3.25,3.26,5.25,0.00,18.65,17.89
1970-01-01,00:00:04.4464,ERR,ErrD,0,0,0,84,100,88,16,410,44.05,0,18747,1793,0,0.00,0.00,0.86,18.27,6.51,1.27,0.64,6.51,3.25,3.26,5.25,0.00,18.65,17.89
1970-01-01,00:00:04.4665,ERR,ErrD,0,0,0,99,100,7,16,410,41.41,0,19926,1498,0,0.00,0.00,0.86,18.36,6.51,2.70,1.02,6.41,3.25,3.26,5.25,0.00,18.89,17.90
1970-01-01,00:00:04.4865,ERR,ErrD,0,0,0,121,100,100,16,0,42.15,8902,15406,1335,0,0.00,0.00,0.86,18.64,6.47,2.70,1.02,6.22,3.22,3.24,5.25,0.00,19.00,17.87
1970-01-01,00:00:05.5065,ERR,ErrD,0,0,0,143,100,100,16,0,42.66,4710,15406,1179,0,0.00,0.00,0.86,18.28,6.47,2.70,1.02,6.50,3.22,3.24,5.25,0.00,18.94,17.93
1970-01-01,00:00:05.5265,ERR,ErrD,0,0,0,165,100,28,16,0,43.03,7481,19336,1015,0,0.00,0.00,0.85,18.47,6.47,1.11,1.17,6.44,3.22,3.24,5.25,0.00,18.69,17.76
1970-01-01,00:00:05.5465,ERR,ErrD,0,0,0,187,100,0,16,0,42.25,4082,22866,843,0,0.00,0.00,0.85,19.05,6.47,1.11,1.17,6.43,3.22,3.24,5.25,0.00,19.01,17.72
1970-01-01,00:00:05.5667,ERR,ErrD,0,0,0,209,100,100,16,0,42.11,8902,9227,688,0,0.00,0.00,0.86,18.47,6.49,2.78,1.56,6.50,3.23,3.25,5.24,0.00,19.05,17.80
1970-01-01,00:00:05.5867,ERR,ErrD,0,0,0,231,100,0,16,0,42.86,8910,17695,516,0,0.00,0.00,0.86,18.38,6.49,2.78,1.56,6.48,3.23,3.25,5.25,0.00,19.25,17.75
1970-01-01,00:00:06.6067,ERR,ErrD,0,0,0,252,100,0,16,0,42.06,8477,18447,360,0,0.00,0.00,0.86,18.20,6.49,2.78,1.56,6.48,3.23,3.25,5.24,0.00,19.08,17.77
1970-01-01,00:00:06.6268,ERR,ErrD,0,0,0,274,100,2,16,0,41.97,7092,23790,188,0,0.00,0.00,0.85,18.54,6.45,1.13,1.72,6.47,3.22,3.23,5.24,0.00,18.72,17.78
